Year,Refund,Population,,,,,,,,,,,,,,,,,,,
1987,96969.00,242289.00,,,,,,,,,,,,,,,,,,,
1988,94480.00,244499.00,,,,,,,,,,,,,,,,,,,
1989,93613.00,246819.00,,,,,,,,,,,,,,,,,,,
1990,99656.00,249464.00,,,,,,,,,,,,,,,,,,,
1991,104380.00,252153.00,,,,,,,,,,,,,,,,,,,
1992,113108.00,255030.00,,,,,,,,,,,,,,,,,,,
1993,93580.00,257783.00,,,,,,,,,,,,,,,,,,,
1994,96980.00,260327.00,,,,,,,,,,,,,,,,,,,
1995,108035.00,262803.00,,,,,,,,,,,,,,,,,,,
1996,132710.00,265229.00,,,,,,,,,,,,,,,,,,,
1997,142599.00,267784.00,,,,,,,,,,,,,,,,,,,
1998,153828.00,270248.00,,,,,,,,,,,,,,,,,,,
1999,185282.00,272691.00,,,,,,,,,,,,,,,,,,,
2000,195751.00,282193.00,,,,,,,,,,,,,,,,,,,
2001,252787.00,285108.00,,,,,,,,,,,,,,,,,,,
2002,257644.00,287985.00,,,,,,,,,,,,,,,,,,,
2003,296064.00,290850.00,,,,,,,,,,,,,,,,,,,
2004,270893.00,293657.00,,,,,,,,,,,,,,,,,,,
2005,255439.00,296410.00,,,,,,,,,,,,,,,,,,,
2006,263501.00,299103.00,,,,,,,,,,,,,,,,,,,